ranking_companies,unicorn,date_joined,country,city,industry,selected_investors,value,lat,lng,capital,population,id_city,year
510,Aledade,2021-01-19,United States,Bethesda,Health,"Venrock, CVF Capital Partners, ARCH Venture Partners",1.9,38.9866,-77.1188,,63195.0,1840005826,2021
511,CoinSwitch Kuber,2021-10-06,India,Bangalore,Fintech,"Tiger Global Management, Sequoia Capital India, Ribbit Capital",1.9,12.9699,77.598,admin,13707000.0,1356410365,2021
512,Acorns,2022-03-09,United States,Irvine,Fintech,"e.ventures, Bain Capital Ventures, Greycroft",1.9,33.6772,-117.7738,,287401.0,1840019325,2022
513,Roofstock,2022-03-10,United States,Oakland,Fintech,"Khosla Ventures, Bain Capital Ventures, Lightspeed Venture Partners",1.94,37.7903,-122.2165,,433031.0,1840020296,2022
514,thatgamecompany,2022-03-03,United States,Los Angeles,Internet software & services,"Benchmark, Sequoia Capital, TPG Capital",1.94,34.1139,-118.4068,,12750807.0,1840020491,2022
515,ConcertAI,2022-03-29,United States,Boston,Artificial Intelligence,"Sixth Street Partners, Declaration Partners, Maverick Ventures Israel",1.9,42.3188,-71.0846,admin,4688346.0,1840000455,2022
516,Material Bank,2022-05-06,United States,Boca Raton,E-commerce & direct-to-consumer,"Bain Capital Ventures, SoftBank Group, Fifth Wall Ventures",1.9,26.3752,-80.108,,99805.0,1840014207,2022
517,Volocopter,2022-03-04,Germany,Bruchsal,Auto & transportation,"btov Partners, Geely, Intel Capital",1.87,49.1333,8.6,,44644.0,1276034362,2022
518,ENOVATE,2019-04-15,China,Shanghai,Auto & transportation,Automobile Industry Guidance Fund,1.85,31.1667,121.4667,admin,22120000.0,1156073548,2019
519,CFGI,2021-09-15,United States,Boston,Fintech,"The Carlyle Group, CVC Capital Partners",1.85,42.3188,-71.0846,admin,4688346.0,1840000455,2021
520,Retool,2021-12-22,United States,San Francisco,Internet software & services,Sequoia Capital,1.85,37.7562,-122.443,,3592294.0,1840021543,2021
521,ZocDoc,2015-08-20,United States,New York,Health,"Founders Fund, Khosla Ventures, Goldman Sachs",1.8,40.6943,-73.9249,,18713220.0,1840034016,2015
522,Diamond Foundry,2021-03-29,United States,San Francisco,Other,"Fashion Tech Lab, Fidelity Investments, Vast Ventures",1.8,37.7562,-122.443,,3592294.0,1840021543,2021
523,FullStory,2021-08-04,United States,Atlanta,Internet software & services,"Google Ventures, Kleiner Perkins Caufield & Byers, Stripes Group",1.8,33.7627,-84.4224,admin,5449398.0,1840013660,2021
524,Lightricks,2019-07-31,Israel,Jerusalem,Artificial Intelligence,"Viola Ventures, Insight Partners, ClalTech, Goldman Sachs",1.8,31.7833,35.2167,primary,919438.0,1376261644,2019
525,Opentrons,2021-09-23,United States,New York,Hardware,"SOSV, Khosla Ventures, Lerer Hippeau",1.8,40.6943,-73.9249,,18713220.0,1840034016,2021
526,Slice,2021-11-28,India,Bangalore,Fintech,"Gunosy Capital, Blume Ventures, Das Capital",1.8,12.9699,77.598,admin,13707000.0,1356410365,2021
527,Cambrian BioPharma,2021-10-26,United States,Brooklyn,Health,"Future Ventures, Apeiron Investment Group, Moore Capital Management",1.79,40.6501,-73.9496,,2559903.0,1840034030,2021
